user_na,user_c,t
Patrick_zou,韭菜不够割。,Sat Mar 13 07:21:58 +0800 2021
阿郑啊啊,11年后再看，依然除了一个屌字无话可说！,Fri Mar 12 23:04:00 +0800 2021
龙城悟空,这个电影比妇联好看多了，十几年前的开创先河级电影！对电影产业贡献多么巨大！放在现在剧情特效都吊打很多作品了。从无声到有声，单色到彩色，再到3d，再到期待下一次不带眼镜的3d！,Sat Mar 13 10:10:44 +0800 2021
fv1251,是没钱了来搞货的？,Sat Mar 13 10:07:44 +0800 2021
贱痞君,这都有人去看 跪好了  别趴着,Sat Mar 13 09:59:33 +0800 2021
待机中59,这么厉害,Sat Mar 13 09:57:59 +0800 2021
荡荡荡了个薯片,中国人钱好赚,Sat Mar 13 09:53:36 +0800 2021
Rainie丶情愫暗生,了,Sat Mar 13 09:50:40 +0800 2021
周青春24,烂片,Sat Mar 13 09:06:38 +0800 2021
金门少爷,可以啊！我是第一次在电影院看，过些天再看一次IMAX的,Sat Mar 13 03:38:22 +0800 2021
大咖KING,不这样怎么为第二部造势，感觉缺少底气！！,Sat Mar 13 00:48:19 +0800 2021
Sunnie199103,《阿凡达》明天就重回全球票房冠军,Fri Mar 12 23:41:08 +0800 2021
改个名字真麻烦,了,Sat Mar 13 10:04:46 +0800 2021
qwerty790115,起码没卖80块钱一张吧，经典电影再看一遍还是经典,Sat Mar 13 10:00:55 +0800 2021
楊門戟魂,辫子国看辫子人如何弓箭对抗坚船利炮，爽歪歪,Sat Mar 13 10:00:05 +0800 2021
EricKingMax,是不是割韭菜,Sat Mar 13 09:57:06 +0800 2021
美妆AWU,当年真的一票难求。找黄牛买的三四百块,Sat Mar 13 09:51:31 +0800 2021
霉少女壮土,好想看泰塔尼克号的3D重映，有生之年可以等到吗😂,Sat Mar 13 09:41:39 +0800 2021
北冥39059,就是美国因为新冠导致没钱了，来中国圈钱来了，还有人欢呼，哪来的自信？,Sat Mar 13 09:19:40 +0800 2021
胡子什在武汉,国人是怎么了,Sat Mar 13 09:00:02 +0800 2021
爱吃奶糖的咖啡猪,？,Sat Mar 13 08:57:15 +0800 2021
老袁老袁97,圈中国人的钱， 还捧经典呢,Sat Mar 13 08:54:49 +0800 2021
追梦6064616853,泰坦尼克号再重映！！！,Sat Mar 13 08:51:33 +0800 2021
MckennaGraceeyes,期待波特重映,Sat Mar 13 09:53:49 +0800 2021
叫我小甜橙本橙,啊,Sat Mar 13 09:51:23 +0800 2021
名优时尚荟萃,估计是在给2做铺垫,Sat Mar 13 09:37:27 +0800 2021
秌允,打包票的说，外国片我就没有一部贡献过票房，打不了就是后面手机上看看，包括前几年很火的复联。当年外国人入侵，现在没有一个电影院是无辜的。,Sat Mar 13 09:29:55 +0800 2021
陈豆花她爹,<a href='/n/Facaifafa'>@Facaifafa</a> 去不去看 我都忘了剧情了,Sat Mar 13 09:25:44 +0800 2021
Albertoo24,过年档要是有这种电影还有国产片什么事 操,Sat Mar 13 09:08:37 +0800 2021
请加我船长大人,上映很久了 在有版权的视频网上看 也没什么，最可恶的是 电影正在上映 在那种非法网站上看偷录的  真的对不起那么多人的辛苦付出,Sat Mar 13 09:06:18 +0800 2021
名字是不是很帅02695,涛,Sat Mar 13 09:02:39 +0800 2021
limiboob,最近没啥好看的，正好去看阿凡达，嘤嘤嘤,Sat Mar 13 08:57:39 +0800 2021
抓只曲蛐逗一下,打扰各位了，麻烦好心人看下我围脖这孩子🙏🙏,Sat Mar 13 08:55:58 +0800 2021
食人魔魔法师1234,炒冷饭,Sat Mar 13 08:51:36 +0800 2021
Rangooo归来,！,Sat Mar 13 08:47:46 +0800 2021
Rangooo归来,无法逾越的经典...！！！,Sat Mar 13 08:39:27 +0800 2021
Rangooo归来,！,Sat Mar 13 08:38:08 +0800 2021
机械银河,看过的第一部3D电影？印象中是的哈哈 要去看！！,Fri Mar 12 23:32:45 +0800 2021
含霜履雪,了,Fri Mar 12 23:01:56 +0800 2021
