小米笔记本电脑RedmiBook 14 二代高性能全金属超轻薄红米学生网课游戏办公手提荣耀银手机互传 【Ⅱ代六核R5-4500U 8G 512G固态】 预装正版Office办公软件锐龙6核处理器，仅1.2Kg重，全金属外壳，迷你Type-c充电器、快充长续航！小米手环疾速解锁增强版新品到货,3499.00,小米丽邦基业专卖店
戴尔（DELL）灵越5493燃5000轻薄本英特尔酷睿十代i5/i7窄边框商务办公学生特惠笔记本电脑 MX230独显2G银色 四核十代i5-1035G1 8G内存+512G固态 定制下单送单肩包、鼠标、鼠标垫、32Gu盘、每日前三名抢智能音箱，9.5-20号晒单送时尚T恤，可选i7十代处理器,4299.00,戴尔康特专卖店
2020新款华为MateBook D14/15轻薄本全面屏商务办公学生设计手提超薄笔记本电脑 D14银六核R5-4500U 16G 512G标配2020新款华为MateBook D14/15轻薄本全面屏商务办公学生设计手提超薄笔记本电脑 D14银六核R5-4500U 16G 512G标配,4399.00,华为康特专卖店
【钛系列高配版】联想拯救者Y7000P/Y7000 2020专业电竞游戏笔记本电脑r 高色域全面屏 十代i5 16G 1T+256G固态【Y7000】 升级版 GTX1650Ti 4G电竞独显【打游戏不卡顿，就用“钛系列”高配显卡】标压i5四核八线程，睿频高达4.1G；GTX1650Ti-4G独显，专业电竞666！【领券立减600，紧俏货源手慢无】,7299.00,联想华东授权专卖店
联想(Lenovo) S540 英特尔酷睿 i5 14英寸窄边框轻薄笔记本电脑 (i5处理器 8G 256G PCIE 2G独显 ) 银河灰【航天5系金属机身，轻约1.5KG】指纹登录，双天线无线网卡，长待机，快速充电，多接口，速抢~,3899.00,联想扬天京东自营旗舰店
联想(Lenovo) Y9000X 拯救者 英特尔酷睿i7 15.6英寸手提超轻薄笔记本电脑游戏本 I7-9750H 16G内存 1TB大固态,7998.00,联想华北授权专卖店
LG gram20款17英寸 WQXGA 16:10 80Wh电池 十代酷睿i7-1065G7 8G 512GB 轻薄笔记本电脑白色17Z90N.76【9.4-9.30购机晒单送100元E卡】大屏窄边框，高配置大容量，16:10的画面比例让你比别人看的更多，走的更远详情请戳：,8999.00,LG笔记本电脑京东自营旗舰店
戴尔（DELL） 灵越5000 5493 14英寸酷睿十代商务办公学生轻薄窄边框手提笔记本电脑  i3-1005G1双核 银色 集成显卡 十代处理器 官方标配全新10代处理器，窄边框IPS屏幕，双硬盘位支持扩展，可选2G独显，轻至1.65KG，薄至18mm10代酷睿新品，大屏商务办公学生网课手提电脑，IPS高清,3099.00,戴尔启予专卖店
戴睿dere超轻薄笔记本电脑15.6英寸窄边框全新四核便携手提学生商务办公游戏上网本背光键盘指纹解锁 幻夜黑 【热卖】8G内存 128G固态+500G硬盘戴睿dere超轻薄笔记本电脑15.6英寸窄边框全新四核便携手提学生商务办公游戏上网本背光键盘指纹解锁 幻夜黑 【热卖】8G内存 128G固态+500G硬盘,1998.00,戴睿旗舰店
联想(Lenovo)拯救者Y9000K 15.6英寸游戏笔记本电脑(i7-10875H 16G 1T RTX2060 144Hz100%Adobe RGB)耀石灰联想(Lenovo)拯救者Y9000K 15.6英寸游戏笔记本电脑(i7-10875H 16G 1T RTX2060 144Hz100%Adobe RGB)耀石灰,11499.00,联想京东自营旗舰店
联想小新air13 2020英特尔酷睿i5 超轻薄笔记本电脑 手提电脑学生直播视频剪辑便携办公本 旗舰版（i5-10210U 16G 512G固态） 高色域 13.3英寸IPS全面屏 轻奢灰限时最后48小时！惊喜爆抢价，错过悔终身！！！小新Air13酷睿十代16G+512G满配性能版，难得吐血再降六百元，限时抢！【再赠价值199元双肩包鼠套装】,5099.00,联想电脑授权专卖店
苹果Apple MacBook Pro 2020款13.3英寸笔记本电脑超薄 轻薄本【原装正品】 灰色 20款 10代i7四核 16G 1TBSSD,17399.00,Apple爱豆专卖店
京品电脑联想(Lenovo)扬天S540 英特尔酷睿 i5 14英寸超薄本学生轻薄商务办公手提笔记本电脑 定制【i5-8265U/8G/512G固态】 R540X 2G独显 IPS 全高清屏 银河灰下单立减300元，再送联想原装鼠标。新八代i酷睿i5四核性能更强，指纹识别开机键二合一！预装正版office杜绝盗版死机，全国上门联保两年，足不出户，安枕无忧！,5099.00,联想扬天京东自营授权旗舰店
】戴尔（DELL）旗舰店【灵越13】十代酷睿超轻薄学生粉女办公手提笔记本电脑13.3英寸 【恋爱粉】全金属+72%高色域 10代酷睿/8G/512G/FHD【爆款版】【京东数码品类日-抢大额神券】【下单联系客服，抢原装鼠标丨高考学子凭准考证领壕礼】【72%高色域+轻至1.08KG+薄至1.4mm】【只为年轻爱颜值的你】,4399.00,卓品数码旗舰店
惠普（HP）暗影精灵6Plus暗夜精灵6 R5R7处理器 15.6英寸电竞吃鸡游戏笔记本电脑【新品】 【暗影5】i5-9300H|1650 4G【推荐】 配置一 8G内存|512G SSD固态【暗影精灵5，抢600元神券，低至5199元】超窄边框，电竞游戏本，加送游戏键盘+电脑包！点击查看~,5799.00,惠普赞晓专卖店
